filename,title,document_type,year,theme,source_url
2314_2022.pdf,Resolução CFM nº 2.314/2022,Resolução,2022,Telemedicina,https://sistemas.cfm.org.br/normas/arquivos/resolucoes/BR/2022/2314_2022.pdf
pbia_mcti_2025.pdf,Plano Brasileiro de Inteligência Artificial,Plano governamental,2025,IA responsável,https://www.gov.br/mcti/pt-br/centrais-de-conteudo/publicacoes-mcti/plano-brasileiro-de-inteligencia-artificial/pbia_mcti_2025.pdf
PL-2338-2023.pdf,Projeto de Lei nº 2338/2023,Projeto de lei,2023,Regulação de IA,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2868197&filename=PL%202338/2023
